  Frequency             I(Rs)                 V(R40:2)              V(C2:+)              
  1.000000000000e+000  4.180356689636e-001  1.672142675854e+000  1.000000000000e+000  
  1.258925411794e+000  5.639463717027e-001  2.255785486811e+000  1.000000000000e+000  
  1.584893192461e+000  7.432440896308e-001  2.972976358523e+000  1.000000000000e+000  
  1.995262314969e+000  9.542069891702e-001  3.816827956681e+000  1.000000000000e+000  
  2.511886431510e+000  1.191413410179e+000  4.765653640718e+000  1.000000000000e+000  
  3.162277660168e+000  1.444761228725e+000  5.779044914899e+000  1.000000000000e+000  
  3.981071705535e+000  1.699431713406e+000  6.797726853623e+000  1.000000000000e+000  
  5.011872336273e+000  1.938279640720e+000  7.753118562878e+000  1.000000000000e+000  
  6.309573444802e+000  2.146505663857e+000  8.586022655427e+000  1.000000000000e+000  
  7.943282347243e+000  2.315981578057e+000  9.263926312228e+000  1.000000000000e+000  
  1.000000000000e+001  2.446371243617e+000  9.785484974469e+000  1.000000000000e+000  
  1.258925411794e+001  2.542871972303e+000  1.017148788921e+001  1.000000000000e+000  
  1.584893192461e+001  2.612762100245e+000  1.045104840098e+001  1.000000000000e+000  
  1.995262314969e+001  2.662835173057e+000  1.065134069223e+001  1.000000000000e+000  
  2.511886431510e+001  2.698380986761e+000  1.079352394704e+001  1.000000000000e+000  
  3.162277660168e+001  2.723265418541e+000  1.089306167416e+001  1.000000000000e+000  
  3.981071705535e+001  2.740360593208e+000  1.096144237283e+001  1.000000000000e+000  
  5.011872336273e+001  2.751868669726e+000  1.100747467890e+001  1.000000000000e+000  
  6.309573444802e+001  2.759475459335e+000  1.103790183734e+001  1.000000000000e+000  
  7.943282347243e+001  2.764431037497e+000  1.105772414999e+001  1.000000000000e+000  
  1.000000000000e+002  2.767625278659e+000  1.107050111464e+001  1.000000000000e+000  
  1.258925411794e+002  2.769669046629e+000  1.107867618651e+001  1.000000000000e+000  
  1.584893192461e+002  2.770970224321e+000  1.108388089729e+001  1.000000000000e+000  
  1.995262314969e+002  2.771795898483e+000  1.108718359393e+001  1.000000000000e+000  
  2.511886431510e+002  2.772318668971e+000  1.108927467588e+001  1.000000000000e+000  
  3.162277660168e+002  2.772649101817e+000  1.109059640727e+001  1.000000000000e+000  
  3.981071705535e+002  2.772857606534e+000  1.109143042614e+001  1.000000000000e+000  
  5.011872336273e+002  2.772988822532e+000  1.109195529013e+001  1.000000000000e+000  
  6.309573444802e+002  2.773070926380e+000  1.109228370552e+001  1.000000000000e+000  
  7.943282347243e+002  2.773121581778e+000  1.109248632711e+001  1.000000000000e+000  
  1.000000000000e+003  2.773151699409e+000  1.109260679764e+001  1.000000000000e+000  
  1.258925411794e+003  2.773167770897e+000  1.109267108359e+001  1.000000000000e+000  
  1.584893192461e+003  2.773173261591e+000  1.109269304637e+001  1.000000000000e+000  
  1.995262314969e+003  2.773169355220e+000  1.109267742088e+001  1.000000000000e+000  
  2.511886431510e+003  2.773155208084e+000  1.109262083234e+001  1.000000000000e+000  
  3.162277660168e+003  2.773127766481e+000  1.109251106593e+001  1.000000000000e+000  
  3.981071705535e+003  2.773081107540e+000  1.109232443016e+001  1.000000000000e+000  
  5.011872336273e+003  2.773005161141e+000  1.109202064456e+001  1.000000000000e+000  
  6.309573444802e+003  2.772883537437e+000  1.109153414975e+001  1.000000000000e+000  
  7.943282347243e+003  2.772689992136e+000  1.109075996854e+001  1.000000000000e+000  
  1.000000000000e+004  2.772382769599e+000  1.108953107839e+001  1.000000000000e+000  
  1.258925411794e+004  2.771895610807e+000  1.108758244323e+001  1.000000000000e+000  
  1.584893192461e+004  2.771123507600e+000  1.108449403040e+001  1.000000000000e+000  
  1.995262314969e+004  2.769900190716e+000  1.107960076287e+001  1.000000000000e+000  
  2.511886431510e+004  2.767962668991e+000  1.107185067596e+001  1.000000000000e+000  
  3.162277660168e+004  2.764895659140e+000  1.105958263656e+001  1.000000000000e+000  
  3.981071705535e+004  2.760045246155e+000  1.104018098462e+001  1.000000000000e+000  
  5.011872336273e+004  2.752386564958e+000  1.100954625983e+001  1.000000000000e+000  
  6.309573444802e+004  2.740325289131e+000  1.096130115652e+001  1.000000000000e+000  
  7.943282347243e+004  2.721409759714e+000  1.088563903885e+001  1.000000000000e+000  
  1.000000000000e+005  2.691937474580e+000  1.076774989832e+001  1.000000000000e+000  
  1.258925411794e+005  2.646475734884e+000  1.058590293953e+001  1.000000000000e+000  
  1.584893192461e+005  2.577419583815e+000  1.030967833526e+001  1.000000000000e+000  
  1.995262314969e+005  2.474934032504e+000  9.899736130016e+000  1.000000000000e+000  
  2.511886431510e+005  2.327983153284e+000  9.311932613137e+000  1.000000000000e+000  
  3.162277660168e+005  2.127409028228e+000  8.509636112913e+000  1.000000000000e+000  
  3.981071705535e+005  1.871430771729e+000  7.485723086916e+000  1.000000000000e+000  
  5.011872336273e+005  1.571539320001e+000  6.286157280003e+000  1.000000000000e+000  
  6.309573444802e+005  1.253665291114e+000  5.014661164455e+000  1.000000000000e+000  
