  Time                  I(Rs)                 V(R40:2)              V(C2:+)              
  0.000000000000e+000  2.249564973480e-002  -8.998259893921e-002  0.000000000000e+000  
  1.000000000000e-008  2.249568055388e-002  -8.998272221553e-002  3.141592651523e-005  
  2.000000000000e-008  2.249570208264e-002  -8.998280833055e-002  6.283185290643e-005  
  4.000033855438e-008  2.249534396601e-002  -8.998137586404e-002  1.256647684206e-004  
  8.000101566315e-008  2.249291284681e-002  -8.997165138724e-002  2.513305925032e-004  
  1.600023698807e-007  2.246096800541e-002  -8.984387202166e-002  5.026621851025e-004  
  3.200050783157e-007  2.220359935829e-002  -8.881439743318e-002  1.005324925774e-003  
  6.400104951859e-007  2.091474475379e-002  -8.365897901514e-002  2.010646850894e-003  
  1.280021328926e-006  1.638025900061e-002  -6.552103600242e-002  4.021262251449e-003  
  2.280044217110e-006  7.723095960056e-003  -3.089238384023e-002  7.162725152388e-003  
  3.280067105293e-006  -1.001303707983e-003  4.005214831934e-003  1.030390526826e-002  
  4.280089993477e-006  -9.715490435238e-003  3.886196174095e-002  1.344467858497e-002  
  5.280112881660e-006  -1.842035097404e-002  7.368140389617e-002  1.658492110450e-002  
  6.280135769844e-006  -2.711933113568e-002  1.084773245427e-001  1.972450884976e-002  
  7.280158658028e-006  -3.583066184271e-002  1.433226473708e-001  2.286331786955e-002  
  8.280181546211e-006  -4.454792889732e-002  1.781917155893e-001  2.600122424337e-002  
  9.280204434395e-006  -5.323906655083e-002  2.129562662033e-001  2.913810408640e-002  
  1.028022732258e-005  -6.192606200507e-002  2.477042480203e-001  3.227383355431e-002  
  1.128025021076e-005  -7.063211623836e-002  2.825284649535e-001  3.540828884820e-002  
  1.228027309895e-005  -7.933649501203e-002  3.173459800481e-001  3.854134621950e-002  
  1.328029598713e-005  -8.800984812163e-002  3.520393924865e-001  4.167288197478e-002  
  1.428031887531e-005  -9.667322949883e-002  3.866929179953e-001  4.480277248073e-002  
  1.528034176350e-005  -1.053533843185e-001  4.214135372738e-001  4.793089416897e-002  
  1.628036465168e-005  -1.140437088244e-001  4.561748352976e-001  5.105712354096e-002  
  1.728038753986e-005  -1.227053509815e-001  4.908214039259e-001  5.418133717287e-002  
  1.828041042805e-005  -1.313561245167e-001  5.254244980666e-001  5.730341172044e-002  
  1.928043331623e-005  -1.400026197203e-001  5.600104788813e-001  6.042322392388e-002  
  2.028045620441e-005  -1.486487683423e-001  5.945950733690e-001  6.354065061270e-002  
  2.128047909260e-005  -1.572850365584e-001  6.291401462336e-001  6.665556871061e-002  
  2.228050198078e-005  -1.659167499505e-001  6.636669998019e-001  6.976785524034e-002  
  2.328052486897e-005  -1.745315427635e-001  6.981261710539e-001  7.287738732852e-002  
  2.428054775715e-005  -1.831489657315e-001  7.325958629258e-001  7.598404221053e-002  
  2.528057064533e-005  -1.917625789620e-001  7.670503158481e-001  7.908769723534e-002  
  2.628059353352e-005  -2.003585891953e-001  8.014343567812e-001  8.218822987036e-002  
  2.728061642170e-005  -2.089414468850e-001  8.357657875401e-001  8.528551770626e-002  
  2.828063930988e-005  -2.175251889584e-001  8.701007558337e-001  8.837943846183e-002  
  2.928066219807e-005  -2.261024127844e-001  9.044096511375e-001  9.146986998879e-002  
  3.028068508625e-005  -2.346593900695e-001  9.386375602781e-001  9.455669027659e-002  
  3.128070797443e-005  -2.431929253981e-001  9.727717015925e-001  9.763977745728e-002  
  3.228073086262e-005  -2.517258030145e-001  1.006903212058e+000  1.007190098103e-001  
  3.328075375080e-005  -2.602695582286e-001  1.041078232914e+000  1.037942657672e-001  
  3.428077663898e-005  -2.687928619910e-001  1.075171447964e+000  1.068654239167e-001  
  3.528079952717e-005  -2.772830082274e-001  1.109132032909e+000  1.099323630091e-001  
  3.628082241535e-005  -2.857596309808e-001  1.143038523923e+000  1.129949619614e-001  
  3.728084530354e-005  -2.942373937686e-001  1.176949575074e+000  1.160530998619e-001  
  3.828086819172e-005  -3.027153404843e-001  1.210861361937e+000  1.191066559749e-001  
  3.928089107990e-005  -3.111644503782e-001  1.244657801513e+000  1.221555097459e-001  
  4.028091396809e-005  -3.195924137304e-001  1.278369654922e+000  1.251995408058e-001  
  4.128093685627e-005  -3.280158472626e-001  1.312063389051e+000  1.282386289759e-001  
  4.228095974445e-005  -3.364238691033e-001  1.345695476413e+000  1.312726542727e-001  
  4.328098263264e-005  -3.448034901926e-001  1.379213960770e+000  1.343014969127e-001  
